Title,Author,Rating
父权制与资本主义,[日] 上野千鹤子 ,9.2
庄子,孙通海 译注 ,9.4
不存在的骑士,[意] 伊塔洛·卡尔维诺 ,8.9
野火集,龙应台 ,8.7
显微镜下的大明,马伯庸 ,8.7
最好的我们,八月长安 ,8.7
论语,刘胜利 ,9.1
从零开始的女性主义,[日本] 上野千鹤子 ,8.7
包法利夫人,福楼拜 ,9.1
你好，旧时光（上 下）,八月长安 ,8.7
火星救援,[美] 安迪·威尔 ,8.9
你一生的故事,[美] 特德·姜 ,8.7
会饮篇,[古希腊] 柏拉图 ,9.3
跨越边界的社区（修订版）,项飙 ,9.4
现代艺术150年,[英] 威尔·贡培兹 ,9.1
解忧杂货店,[日] 东野圭吾 ,8.5
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 ,8.7
坟,鲁迅 ,9.6
挽救计划,[美] 安迪·威尔 ,9.1
众病之王,[美] 悉达多·穆克吉 ,9.0
顾城的诗,顾城 ,8.8
时间的秩序,[意] 卡洛·罗韦利 ,8.9
奥斯维辛,[英] 劳伦斯·里斯 ,9.5
象棋的故事,[奥] 斯蒂芬·茨威格 ,9.1
分成两半的子爵,[意] 伊塔洛·卡尔维诺 ,8.8
金锁记,张爱玲 ,8.6
二手时间,[白俄] S. A. 阿列克谢耶维奇 ,8.8
命运,蔡崇达 ,8.9
规训与惩罚,[法] 米歇尔·福柯 ,9.3
看不见的女性,卡罗琳·克里亚多·佩雷斯 ,9.2
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 ,9.1
哈姆莱特,[英] 莎士比亚 ,8.7
总统是靠不住的,林达 ,8.8
上学记,何兆武 口述 ,8.9
